"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2021","288.76","284.05","290.40","284.05","24.99M","2.00%"
"10/04/2021","283.11","287.40","287.75","280.25","31.35M","-2.07%"
"10/01/2021","289.10","282.12","289.98","281.29","30.09M","2.55%"
"09/30/2021","281.92","285.71","287.83","281.62","32.34M","-0.73%"
"09/29/2021","284.00","285.10","286.77","283.01","26.35M","0.17%"
"09/28/2021","283.52","289.80","290.78","282.75","43.19M","-3.62%"
"09/27/2021","294.17","296.14","296.47","292.94","23.57M","-1.73%"
"09/24/2021","299.35","298.23","299.80","296.93","15.00M","-0.07%"
"09/23/2021","299.56","298.85","300.90","297.53","18.60M","0.33%"
"09/22/2021","298.58","296.73","300.22","294.51","26.63M","1.28%"
"09/21/2021","294.80","295.69","297.54","294.07","22.36M","0.17%"
"09/20/2021","294.30","296.33","298.72","289.52","38.28M","-1.86%"
"09/17/2021","299.87","304.17","304.50","299.53","41.37M","-1.75%"
"09/16/2021","305.22","303.76","305.31","300.76","19.55M","0.13%"
"09/15/2021","304.82","303.26","305.32","301.82","28.36M","1.68%"
"09/14/2021","299.79","299.56","301.39","298.10","21.85M","0.94%"
"09/13/2021","296.99","297.55","298.54","294.08","23.65M","0.43%"
"09/10/2021","295.71","298.42","299.92","295.38","19.63M","-0.52%"
"09/09/2021","297.25","300.82","302.14","297.00","19.93M","-0.99%"
"09/08/2021","300.21","299.78","300.61","297.47","15.05M","0.01%"
"09/07/2021","300.18","301.00","301.09","298.20","17.18M","-0.32%"
"09/03/2021","301.14","300.99","302.60","300.26","14.75M","0.00%"
"09/02/2021","301.15","302.20","303.36","300.18","16.29M","-0.23%"
"09/01/2021","301.83","302.87","305.19","301.49","18.98M","-0.02%"
"08/31/2021","301.88","304.42","304.50","301.50","26.29M","-0.56%"
"08/30/2021","303.59","301.12","304.22","301.06","16.35M","1.29%"
"08/27/2021","299.72","298.99","300.87","296.83","22.61M","0.21%"
"08/26/2021","299.09","300.99","302.43","298.95","17.67M","-0.97%"
"08/25/2021","302.01","304.30","304.59","300.42","20.01M","-0.20%"
"08/24/2021","302.62","305.02","305.65","302.00","18.18M","-0.67%"
"08/23/2021","304.65","303.25","305.40","301.85","22.83M","0.10%"
"08/20/2021","304.36","299.72","305.84","298.06","40.82M","2.56%"
"08/19/2021","296.77","288.69","297.47","288.64","29.85M","2.08%"
"08/18/2021","290.73","292.04","294.82","290.27","21.81M","-0.80%"
"08/17/2021","293.08","292.39","293.43","291.08","20.08M","-0.52%"
"08/16/2021","294.60","293.19","294.82","290.02","22.52M","0.60%"
"08/13/2021","292.85","289.48","292.90","289.30","18.25M","1.05%"
"08/12/2021","289.81","286.63","289.97","286.34","14.57M","1.00%"
"08/11/2021","286.95","287.21","288.66","285.86","13.96M","0.18%"
"08/10/2021","286.44","288.80","289.25","285.20","18.62M","-0.66%"
"08/09/2021","288.33","289.75","291.55","287.81","16.12M","-0.39%"
"08/06/2021","289.46","288.50","289.50","287.62","16.59M","-0.02%"
"08/05/2021","289.52","286.88","289.63","286.10","13.90M","1.05%"
"08/04/2021","286.51","286.22","287.59","284.65","16.19M","-0.21%"
"08/03/2021","287.12","285.42","287.23","284.00","17.88M","0.81%"
"08/02/2021","284.82","286.36","286.77","283.74","16.27M","-0.03%"
"07/30/2021","284.91","285.17","286.66","283.91","20.94M","-0.55%"
"07/29/2021","286.50","286.24","288.62","286.08","18.17M","0.10%"
"07/28/2021","286.22","288.99","290.15","283.83","33.57M","-0.11%"
"07/27/2021","286.54","289.43","289.57","282.95","33.60M","-0.87%"
"07/26/2021","289.05","289.00","289.69","286.64","23.18M","-0.21%"
"07/23/2021","289.67","287.37","289.99","286.50","22.77M","1.23%"
"07/22/2021","286.14","283.84","286.42","283.42","23.38M","1.68%"
"07/21/2021","281.40","278.90","281.52","277.29","24.36M","0.74%"
"07/20/2021","279.32","278.03","280.97","276.26","26.26M","0.83%"
"07/19/2021","277.01","278.93","280.37","274.45","32.94M","-1.33%"
"07/16/2021","280.75","282.07","284.10","279.46","26.19M","-0.10%"
"07/15/2021","281.03","282.00","282.51","279.83","22.60M","-0.52%"
"07/14/2021","282.51","282.35","283.66","280.55","23.11M","0.54%"
"07/13/2021","280.98","277.52","282.85","277.39","26.12M","1.32%"
"07/12/2021","277.32","279.16","279.77","276.58","18.93M","-0.22%"
"07/09/2021","277.94","275.72","278.05","275.32","23.92M","0.19%"
"07/08/2021","277.42","276.90","278.73","274.87","24.62M","-0.90%"
"07/07/2021","279.93","279.40","280.69","277.15","23.26M","0.82%"
"07/06/2021","277.66","278.03","279.37","274.30","31.57M","0.00%"
"07/02/2021","277.65","272.82","278.00","272.50","26.47M","2.23%"
"07/01/2021","271.60","269.61","271.84","269.60","16.73M","0.26%"
"06/30/2021","270.90","270.69","271.36","269.60","21.66M","-0.18%"
"06/29/2021","271.40","268.87","271.65","267.98","19.94M","1.00%"
"06/28/2021","268.72","266.19","268.90","265.91","19.59M","1.40%"
"06/25/2021","265.02","266.23","267.25","264.76","25.61M","-0.63%"
"06/24/2021","266.69","266.16","267.85","265.47","21.45M","0.54%"
"06/23/2021","265.27","265.99","266.83","264.43","19.52M","-0.09%"
"06/22/2021","265.51","262.72","265.79","262.40","24.69M","1.10%"
"06/21/2021","262.63","259.82","263.52","257.92","26.70M","1.23%"
"06/18/2021","259.43","259.63","262.30","258.75","37.20M","-0.56%"
"06/17/2021","260.90","256.06","261.75","256.01","27.57M","1.37%"
"06/16/2021","257.38","259.40","260.58","254.42","27.22M","-0.38%"
"06/15/2021","258.36","259.77","259.99","257.68","18.04M","-0.59%"
"06/14/2021","259.89","257.90","259.95","256.80","19.15M","0.78%"
"06/11/2021","257.89","257.99","258.49","256.61","19.00M","0.25%"
"06/10/2021","257.24","254.29","257.46","253.67","24.56M","1.44%"
"06/09/2021","253.59","253.81","255.53","253.21","17.94M","0.40%"
"06/08/2021","252.57","255.16","256.01","252.51","22.45M","-0.49%"
"06/07/2021","253.81","249.98","254.09","249.81","23.08M","1.20%"
"06/04/2021","250.79","247.76","251.65","247.51","25.28M","2.07%"
"06/03/2021","245.71","245.22","246.34","243.00","25.31M","-0.64%"
"06/02/2021","247.30","248.12","249.27","245.84","19.41M","-0.04%"
"06/01/2021","247.40","251.23","251.29","246.96","23.21M","-0.91%"
"05/28/2021","249.68","251.00","252.08","249.56","18.27M","0.15%"
"05/27/2021","249.31","251.17","251.48","249.25","24.43M","-0.87%"
"05/26/2021","251.49","251.43","252.94","250.75","17.77M","-0.09%"
"05/25/2021","251.72","251.77","252.75","250.82","17.70M","0.37%"
"05/24/2021","250.78","247.78","251.16","247.51","21.41M","2.29%"
"05/21/2021","245.17","247.56","248.33","244.74","21.86M","-0.53%"
"05/20/2021","246.48","243.96","247.95","243.86","21.80M","1.38%"
"05/19/2021","243.12","239.31","243.23","238.60","25.74M","0.02%"
"05/18/2021","243.08","246.27","246.41","242.90","20.17M","-0.86%"
"05/17/2021","245.18","246.55","246.59","243.52","24.97M","-1.20%"
"05/14/2021","248.15","245.57","249.18","245.49","23.90M","2.11%"
"05/13/2021","243.03","241.80","245.60","241.42","29.62M","1.69%"
"05/12/2021","239.00","242.16","244.38","238.07","36.68M","-2.94%"
"05/11/2021","246.23","244.55","246.60","242.57","33.64M","-0.38%"
"05/10/2021","247.18","250.87","251.73","247.12","29.30M","-2.09%"
"05/07/2021","252.46","252.15","254.30","251.17","27.03M","1.09%"
"05/06/2021","249.73","246.45","249.86","244.69","26.49M","1.32%"
"05/05/2021","246.47","249.06","249.50","245.82","21.90M","-0.53%"
"05/04/2021","247.79","250.97","251.21","245.76","32.76M","-1.62%"
"05/03/2021","251.86","253.40","254.35","251.12","19.63M","-0.13%"
"04/30/2021","252.18","249.74","253.08","249.60","30.95M","-0.13%"
"04/29/2021","252.51","255.46","256.10","249.00","40.59M","-0.81%"
"04/28/2021","254.56","256.08","256.54","252.95","46.90M","-2.83%"
"04/27/2021","261.97","261.58","263.19","260.12","31.01M","0.16%"
"04/26/2021","261.55","261.66","262.44","260.17","19.76M","0.15%"
"04/23/2021","261.15","257.88","261.51","257.27","21.50M","1.55%"
"04/22/2021","257.17","260.21","261.78","255.64","25.61M","-1.31%"
"04/21/2021","260.58","258.94","260.68","257.25","24.03M","0.90%"
"04/20/2021","258.26","257.82","260.20","256.84","19.72M","-0.19%"
"04/19/2021","258.74","260.19","261.48","257.82","23.21M","-0.77%"
"04/16/2021","260.74","259.47","261.00","257.60","24.88M","0.48%"
"04/15/2021","259.50","257.93","259.93","257.73","25.63M","1.53%"
"04/14/2021","255.59","257.48","258.83","255.16","23.07M","-1.12%"
"04/13/2021","258.49","257.26","259.19","256.83","23.84M","1.01%"
"04/12/2021","255.91","254.71","257.67","254.62","27.15M","0.02%"
"04/09/2021","255.85","252.87","255.99","252.44","24.33M","1.03%"
"04/08/2021","253.25","252.77","254.14","252.00","23.63M","1.34%"
"04/07/2021","249.90","247.81","250.93","247.19","22.72M","0.82%"
"04/06/2021","247.86","247.61","249.40","246.88","22.93M","-0.49%"
"04/05/2021","249.07","242.76","249.96","242.70","36.91M","2.77%"
"04/01/2021","242.35","238.47","242.84","238.05","30.34M","2.79%"
"03/31/2021","235.77","232.91","239.10","232.39","43.62M","1.69%"
"03/30/2021","231.85","233.53","233.85","231.10","24.79M","-1.44%"
"03/29/2021","235.24","236.59","236.80","231.88","25.23M","-0.52%"
"03/26/2021","236.48","231.55","236.71","231.55","25.48M","1.78%"
"03/25/2021","232.34","235.30","236.94","231.57","34.06M","-1.33%"
"03/24/2021","235.46","237.84","238.00","235.32","25.62M","-0.89%"
"03/23/2021","237.58","237.49","241.05","237.07","31.64M","0.67%"
"03/22/2021","235.99","230.27","236.90","230.14","30.13M","2.45%"
"03/19/2021","230.35","231.02","232.47","229.35","46.43M","-0.16%"
"03/18/2021","230.72","232.56","234.19","230.33","34.85M","-2.67%"
"03/17/2021","237.04","236.15","238.55","233.23","29.56M","-0.28%"
"03/16/2021","237.71","236.28","240.06","235.94","28.09M","1.24%"
"03/15/2021","234.81","234.96","235.19","231.81","26.04M","-0.40%"
"03/12/2021","235.75","234.01","235.82","233.23","22.65M","-0.58%"
"03/11/2021","237.13","234.96","239.17","234.31","29.91M","2.03%"
"03/10/2021","232.42","237.00","237.00","232.04","29.75M","-0.58%"
"03/09/2021","233.78","232.88","235.38","231.67","33.08M","2.81%"
"03/08/2021","227.39","231.37","233.37","227.13","35.27M","-1.82%"
"03/05/2021","231.60","229.52","233.27","226.46","41.87M","2.15%"
"03/04/2021","226.73","226.74","232.49","224.26","44.73M","-0.36%"
"03/03/2021","227.56","232.16","233.58","227.26","34.03M","-2.70%"
"03/02/2021","233.87","237.01","237.30","233.45","22.81M","-1.30%"
"03/01/2021","236.94","235.90","237.47","233.15","25.33M","1.96%"
"02/26/2021","232.38","231.53","235.37","229.54","37.82M","1.48%"
"02/25/2021","228.99","232.08","234.59","227.88","39.54M","-2.37%"
"02/24/2021","234.55","230.01","235.20","229.00","26.34M","0.55%"
"02/23/2021","233.27","230.32","234.83","228.73","30.23M","-0.53%"
"02/22/2021","234.51","237.42","237.93","232.40","36.45M","-2.68%"
"02/19/2021","240.97","243.75","243.86","240.18","25.26M","-1.16%"
"02/18/2021","243.79","241.80","243.93","240.86","16.93M","-0.17%"
"02/17/2021","244.20","241.32","244.31","240.94","21.67M","0.21%"
"02/16/2021","243.70","245.03","246.13","242.92","26.73M","-0.53%"
"02/12/2021","244.99","243.93","245.30","242.73","16.56M","0.20%"
"02/11/2021","244.49","244.78","245.15","242.15","15.75M","0.69%"
"02/10/2021","242.82","245.00","245.92","240.89","22.19M","-0.39%"
"02/09/2021","243.77","241.87","244.76","241.38","23.56M","0.54%"
"02/08/2021","242.47","243.15","243.68","240.81","22.21M","0.11%"
"02/05/2021","242.20","242.23","243.28","240.42","18.05M","0.08%"
"02/04/2021","242.01","242.66","243.24","240.37","25.30M","-0.41%"
"02/03/2021","243.00","239.57","245.09","239.26","27.16M","1.46%"
"02/02/2021","239.51","241.30","242.31","238.69","25.92M","-0.06%"
"02/01/2021","239.65","235.06","242.50","232.43","33.31M","3.32%"
"01/29/2021","231.96","235.99","238.02","231.35","42.50M","-2.92%"
"01/28/2021","238.93","235.61","242.64","235.09","49.11M","2.59%"
"01/27/2021","232.90","238.00","240.44","230.14","69.87M","0.25%"
"01/26/2021","232.33","231.86","234.18","230.08","49.17M","1.22%"
"01/25/2021","229.53","229.12","229.78","224.22","33.15M","1.58%"
"01/22/2021","225.95","227.08","230.07","225.80","30.17M","0.44%"
"01/21/2021","224.97","224.70","226.30","222.42","30.75M","0.28%"
"01/20/2021","224.34","217.70","225.79","217.29","37.78M","3.65%"
"01/19/2021","216.44","213.75","216.98","212.63","30.48M","1.78%"
"01/15/2021","212.65","213.52","214.51","212.03","31.75M","-0.17%"
"01/14/2021","213.02","215.91","217.46","212.74","29.35M","-1.53%"
"01/13/2021","216.34","214.02","216.76","213.93","20.09M","0.66%"
"01/12/2021","214.93","216.50","217.10","213.32","23.25M","-1.18%"
"01/11/2021","217.49","218.47","218.91","216.73","23.05M","-0.97%"
"01/08/2021","219.62","218.68","220.58","217.03","22.96M","0.61%"
"01/07/2021","218.29","214.04","219.34","213.71","27.69M","2.85%"
"01/06/2021","212.25","212.17","216.49","211.94","35.93M","-2.59%"
"01/05/2021","217.90","217.26","218.52","215.70","23.82M","0.10%"
"01/04/2021","217.69","222.53","223.00","214.81","37.13M","-2.13%"
"12/31/2020","222.42","221.70","223.00","219.68","20.94M","0.33%"
"12/30/2020","221.68","225.23","225.63","221.47","20.27M","-1.10%"
"12/29/2020","224.15","226.31","227.18","223.58","17.40M","-0.36%"
"12/28/2020","224.96","224.45","226.03","223.02","17.93M","0.99%"
"12/24/2020","222.75","221.42","223.61","221.20","10.55M","0.78%"
"12/23/2020","221.02","223.11","223.56","220.80","18.70M","-1.30%"
"12/22/2020","223.94","222.69","225.63","221.85","22.64M","0.61%"
"12/21/2020","222.59","217.55","224.00","217.28","37.18M","1.83%"
"12/18/2020","218.59","218.59","219.69","216.02","63.35M","-0.38%"
"12/17/2020","219.42","219.87","220.89","217.92","32.52M","0.06%"
"12/16/2020","219.28","214.75","220.11","214.72","35.02M","2.41%"
"12/15/2020","214.13","215.16","215.42","212.24","27.02M","-0.03%"
"12/14/2020","214.20","213.10","216.21","212.88","28.80M","0.44%"
"12/11/2020","213.26","210.05","213.32","209.11","30.98M","1.30%"
"12/10/2020","210.52","211.77","213.08","210.36","26.47M","-0.60%"
"12/09/2020","211.80","215.16","215.22","211.21","32.44M","-1.95%"
"12/08/2020","216.01","213.97","216.95","212.89","23.28M","0.80%"
"12/07/2020","214.29","214.37","215.54","212.99","24.62M","-0.03%"
"12/04/2020","214.36","214.22","215.38","213.18","24.67M","0.06%"
"12/03/2020","214.24","214.61","216.38","213.65","25.12M","-0.52%"
"12/02/2020","215.37","214.88","215.47","212.80","23.72M","-0.39%"
"12/01/2020","216.21","214.51","217.32","213.35","30.93M","1.00%"
"11/30/2020","214.07","214.10","214.76","210.84","33.06M","-0.54%"
"11/27/2020","215.23","214.85","216.27","214.04","14.51M","0.64%"
"11/25/2020","213.87","215.11","215.29","212.46","21.01M","0.00%"
"11/24/2020","213.86","209.59","214.25","208.86","33.98M","1.78%"
"11/23/2020","210.11","210.95","212.29","208.16","25.68M","-0.13%"
"11/20/2020","210.39","212.20","213.28","210.00","22.84M","-0.96%"
"11/19/2020","212.42","211.38","213.03","209.93","24.79M","0.63%"
